Time-period,Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovenia,Spain,Sweden,Turkey,United Kingdom
2017-Q1,63102.0,6931.0,4147.0,2349.0,20832.0,8196.0,24175.0,71150.0,75313.0,33265.0,12893.0,84875.0,16845.0,11731.0,1131.0,,153537.0,42617.0,17994.0,22188.0,9308.0,5905.0,107181.0,41708.0,104095.0,107443.0
2017-Q2,66078.0,6729.0,4569.0,1979.0,20283.0,7874.0,25946.0,72567.0,73656.0,36419.0,12485.0,94586.0,14646.0,11735.0,967.0,,149941.0,46131.0,18272.0,21749.0,10081.0,5548.0,112395.0,42230.0,110442.0,113093.0
2017-Q3,64157.0,9094.0,4874.0,1676.0,19675.0,7042.0,25697.0,73321.0,74940.0,35142.0,12671.0,96165.0,12131.0,13138.0,1089.0,,145327.0,44331.0,18565.0,22194.0,13383.0,5532.0,121167.0,43885.0,112966.0,110346.0
2017-Q4,64400.0,8196.0,4674.0,1856.0,20560.0,7979.0,27569.0,74775.0,71442.0,35270.0,13031.0,95649.0,13200.0,13252.0,914.0,,147002.0,46298.0,21845.0,20295.0,12780.0,5326.0,116917.0,44177.0,112400.0,106935.0
2018-Q1,66962.0,5615.0,4009.0,1431.0,20834.0,7752.0,25838.0,74343.0,72549.0,35711.0,12765.0,88535.0,13954.0,12567.0,2564.0,485.0,154711.0,41039.0,22175.0,20064.0,10905.0,5979.0,113049.0,42427.0,108771.0,104409.0
2018-Q2,69354.0,6112.0,5111.0,1850.0,21022.0,8285.0,28005.0,72276.0,73151.0,38042.0,13256.0,104572.0,15693.0,12240.0,695.0,481.0,145634.0,44995.0,22933.0,22190.0,10503.0,5424.0,118169.0,45394.0,109381.0,110946.0
2018-Q3,67141.0,8773.0,5073.0,1858.0,19671.0,8166.0,27429.0,75244.0,71670.0,38476.0,12942.0,105729.0,14997.0,13015.0,624.0,455.0,149729.0,44829.0,21296.0,21930.0,14444.0,5560.0,117182.0,43127.0,106404.0,110317.0
2018-Q4,66661.0,7368.0,5097.0,1809.0,20250.0,8210.0,28210.0,75589.0,75333.0,37839.0,13176.0,100785.0,16033.0,14641.0,676.0,534.0,154115.0,44585.0,23975.0,19933.0,12535.0,6164.0,119670.0,44419.0,104574.0,114326.0
2019-Q1,65728.0,7141.0,4170.0,1980.0,20515.0,7864.0,26835.0,74643.0,73539.0,37081.0,13114.0,96353.0,15909.0,13320.0,945.0,419.0,159216.0,43586.0,23047.0,20501.0,11483.0,5819.0,114403.0,42059.0,108006.0,111246.0
2019-Q2,73342.0,6989.0,4618.0,1842.0,20019.0,9000.0,28587.0,73123.0,75893.0,40625.0,12243.0,111213.0,13850.0,13155.0,1574.0,577.0,152023.0,45357.0,24882.0,20113.0,12355.0,5802.0,117911.0,42030.0,114118.0,108799.0
2019-Q3,68348.0,8678.0,4507.0,1915.0,19842.0,8068.0,28615.0,72575.0,72509.0,40332.0,12276.0,97174.0,13465.0,12909.0,1230.0,522.0,148335.0,44118.0,22103.0,19092.0,14338.0,5652.0,117561.0,41893.0,112769.0,106206.0
2019-Q4,70337.0,8178.0,4770.0,1691.0,20849.0,9286.0,28100.0,69495.0,69765.0,38806.0,12663.0,102640.0,13964.0,12860.0,1446.0,517.0,147943.0,47074.0,22363.0,19396.0,13711.0,4840.0,112023.0,39643.0,118543.0,115303.0
2020-Q1,71675.0,7157.0,3711.0,1787.0,20320.0,7872.0,26439.0,69074.0,70015.0,37586.0,12397.0,90266.0,11065.0,12228.0,1066.0,462.0,145177.0,49550.0,21843.0,20043.0,11881.0,5183.0,109100.0,42240.0,119763.0,105217.0
2020-Q2,63733.0,5812.0,5124.0,1671.0,19958.0,9141.0,25870.0,62700.0,64435.0,36119.0,10798.0,93033.0,9289.0,11667.0,774.0,556.0,137258.0,46717.0,21042.0,15638.0,10752.0,4635.0,100302.0,41468.0,108347.0,89562.0
2020-Q3,64607.0,6214.0,4954.0,1911.0,19306.0,8597.0,24093.0,64772.0,66976.0,36918.0,12604.0,94996.0,9463.0,13408.0,553.0,470.0,131827.0,49172.0,21762.0,19218.0,11948.0,4250.0,106001.0,40025.0,116426.0,
2020-Q4,68641.0,6076.0,5292.0,2104.0,20127.0,8981.0,25260.0,65987.0,71621.0,35659.0,13112.0,92343.0,10522.0,14225.0,3344.0,555.0,143255.0,46912.0,22508.0,19047.0,11830.0,4245.0,109408.0,40825.0,120002.0,
2021-Q1,70697.0,5835.0,4472.0,1635.0,20749.0,8868.0,23642.0,64854.0,70524.0,33623.0,12095.0,93241.0,10195.0,11903.0,684.0,304.0,145448.0,47263.0,24183.0,19411.0,11635.0,4884.0,106299.0,41918.0,115927.0,
2021-Q2,74396.0,6203.0,5559.0,1650.0,20896.0,9663.0,22847.0,64480.0,70419.0,38074.0,12810.0,103189.0,8371.0,11619.0,1171.0,456.0,148114.0,49538.0,22590.0,19818.0,12795.0,5260.0,110586.0,42993.0,123973.0,
2021-Q3,70107.0,7745.0,4514.0,1866.0,19160.0,9983.0,24656.0,66691.0,71575.0,36928.0,12710.0,107417.0,8622.0,12455.0,663.0,464.0,148444.0,51243.0,22452.0,19395.0,14955.0,5157.0,114362.0,42332.0,125454.0,
2021-Q4,73008.0,5793.0,4833.0,1834.0,21126.0,8162.0,25739.0,71696.0,73382.0,36763.0,13383.0,102166.0,10422.0,13408.0,852.0,621.0,147673.0,49060.0,25478.0,18807.0,12973.0,4759.0,112848.0,41824.0,127119.0,
2022-Q1,72991.0,7316.0,4656.0,1914.0,21626.0,8441.0,23425.0,68229.0,69839.0,30596.0,12529.0,96421.0,11208.0,11173.0,1084.0,643.0,142905.0,44844.0,24883.0,19542.0,13844.0,5527.0,110917.0,43271.0,126467.0,
2022-Q2,76130.0,8320.0,6262.0,2394.0,21444.0,8042.0,25509.0,68715.0,70160.0,35794.0,13094.0,104381.0,10368.0,8348.0,1237.0,652.0,152013.0,44922.0,27658.0,20489.0,15240.0,5709.0,119729.0,43546.0,128086.0,
2022-Q3,69633.0,8081.0,4878.0,2060.0,21190.0,7289.0,24587.0,72436.0,69095.0,35704.0,12190.0,102160.0,10544.0,10256.0,1029.0,861.0,151688.0,47874.0,29656.0,20695.0,15703.0,5829.0,112788.0,41336.0,126071.0,
2022-Q4,69476.0,7014.0,5011.0,1867.0,21205.0,7034.0,25558.0,69059.0,65811.0,34951.0,12542.0,101635.0,11773.0,10238.0,1539.0,773.0,149571.0,49102.0,34558.0,18126.0,14781.0,5322.0,110603.0,42200.0,124851.0,
